,variable,TPR,FPR
0,AlteredMentalStatus,0.764705882,0.210526316
1,PosMidNeckTenderness,0.823529412,0.210526316
2,Predisposed,0.882352941,0.223684211
3,AxialLoadAnyDoc,0.882352941,0.421052632
4,EMSArrival,1,0.855263158
